;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
belly;3.0776823e-28;6.855845e-05;1.7229688e-13;5.793564e-07;3.7469264e-11;3.7890473e-09;6.8677437e-09;4.370937e-24;6.011212e-10;3.8007376e-05;9.580373e-10;3.2590792e-09;1.6268021e-34;1.0784593e-11;1.5840286e-34;1.1367135e-07
conditt;0.0;1.5349644e-05;6.2950807e-27;9.7652175e-15;2.4091839e-36;1.6473683e-19;9.628025e-21;0.0;7.489575e-16;0.00049067254;9.558715e-18;0.0;8.724516e-39;2.8564336e-16;0.0;4.5363215e-14
anti;9.3011564e-11;7.5411146e-05;6.356555e-08;4.462827e-05;1.747329e-14;5.087734e-06;9.8403525e-06;1.26087e-09;5.1728133e-05;7.0067916e-05;0.00011474756;2.8355945e-10;2.2248028e-06;4.2502056e-06;1.0561878e-14;0.00012193417
socialist;2.1372398e-12;3.6793976e-05;6.692081e-10;5.9986927e-05;6.8370076e-10;1.0303025e-05;1.0199388e-05;1.0970985e-08;2.0301402e-05;4.9937244e-05;0.00010771428;2.0997815e-09;1.5027217e-08;2.3572619e-07;3.6868533e-13;0.0001629286
catholic;1.6467272e-09;7.533027e-05;1.4539299e-09;2.2599259e-05;5.80379e-13;1.8546808e-06;4.144376e-06;5.508417e-10;1.3442853e-05;4.5266504e-05;0.0007779444;8.912508e-11;4.3323456e-10;1.835969e-05;4.883584e-11;0.00021525352
thefederal;0.00015061763;9.907431e-06;1.4053438e-15;6.903544e-06;3.276151e-05;2.965677e-07;4.835163e-11;6.91595e-05;1.0324685e-08;0.00018883558;1.6583764e-06;1.7766817e-17;5.779228e-20;5.1969704e-07;2.9268872e-11;1.360649e-05
make;0.080082305;3.661126e-05;1.1436215e-05;0.0004136967;4.786281e-07;0.0013340496;0.0002889747;4.659826e-06;0.000564705;4.8217014e-05;0.00070904556;6.2479725e-05;2.6370194e-06;1.3377436e-08;0.00032232492;0.00017337814
problem;4.0855346e-09;2.6911921e-05;0.0003297329;0.00027919016;4.3466522e-07;3.7010486e-05;7.234481e-05;1.6852395e-09;0.00013770917;4.4530825e-05;9.8957455e-05;1.5008464e-09;0.058691718;2.1304485e-08;3.5503294e-09;9.6798554e-05
zariski;7.354415e-21;3.1594882e-05;1.3547312e-05;1.0836181e-06;2.7570912e-20;1.3044772e-08;2.8060895e-06;1.899012e-29;2.8424208e-07;0.0001012056;7.58741e-09;1.3213348e-18;3.272875e-23;6.790391e-19;7.190973e-27;2.5675654e-06
proverbial;1.151084e-09;3.8891692e-05;1.5949988e-07;2.5314119e-05;1.0820352e-11;2.1091048e-05;4.2494394e-06;6.363711e-07;4.0762596e-05;4.4007156e-05;6.726203e-05;0.00096061797;1.3220843e-07;2.2333182e-07;1.9964729e-12;2.561251e-05
levy;4.222928e-15;4.62255e-05;2.5588227e-09;9.184457e-05;7.566412e-12;1.0066573e-05;2.4383018e-05;1.7242841e-15;2.572433e-05;6.876886e-05;1.0753861e-05;1.2381994e-12;1.4394485e-11;5.035803e-09;7.4352396e-14;2.8066077e-05
resolution;8.798635e-15;3.10501e-05;6.9160965e-06;0.0002139766;1.2511101e-07;4.3863904e-05;0.0010547839;2.8670228e-09;0.0004217961;4.1950938e-05;5.075866e-05;2.9862017e-09;2.8680466e-07;2.717134e-10;3.332984e-11;9.621744e-05
kaan;1.6758837e-14;0.00013773868;4.044836e-12;6.9834755e-07;7.2004086e-15;7.289472e-08;5.3212652e-08;3.7954765e-18;3.1623938e-07;6.2726256e-05;9.670448e-07;4.3650633e-14;8.905283e-17;3.1433483e-08;1.668403e-18;3.4726274e-06
ofmy;1.0274308e-30;3.766763e-06;5.983434e-20;2.4181244e-09;2.2956466e-33;1.6115788e-09;4.6583796e-12;1.256008e-39;2.3338052e-07;9.8175406e-05;4.0008874e-08;3.965935e-31;3.131141e-19;1.1972755e-11;1.976272e-19;9.392412e-09
gradually;2.5699837e-10;2.2995784e-05;8.404472e-09;7.2572555e-05;0.00010498771;3.4418306e-05;3.2844877e-05;7.260889e-12;0.0001631749;4.9052047e-05;5.4353855e-05;9.652085e-06;5.5649036e-09;1.4495389e-08;0.00020462053;3.0962467e-05
adresse;4.0044662e-05;6.5614586e-06;7.25657e-06;3.6424964e-05;8.353189e-20;5.3500653e-08;7.659739e-09;5.6940794e-14;3.9226375e-06;5.458261e-05;0.00040973292;4.690606e-12;1.283931e-25;3.857391e-08;0.0;8.2988765e-05
poke;4.2692513e-08;8.1414284e-05;1.5309374e-07;7.127783e-05;9.849531e-11;0.00011779094;9.37574e-05;1.4381654e-14;9.968596e-05;3.4521e-05;2.3623581e-05;1.15375315e-07;5.577693e-07;3.9014597e-07;2.409472e-06;3.1690648e-05
elephant;3.3938823e-20;5.7119538e-05;5.580525e-24;6.436391e-08;9.36028e-25;2.5506331e-11;6.830691e-10;2.9542616e-19;7.3014576e-08;0.00014422472;2.2220412e-08;3.7811153e-25;9.379749e-21;0.00011352602;2.2694841e-26;5.6937036e-08
refuse;6.478366e-09;2.9272813e-05;1.6815534e-07;0.00011372483;3.9355463e-12;0.00012862182;3.500302e-05;2.9793376e-10;5.8750247e-05;6.287305e-05;0.00026243718;4.87002e-09;5.329395e-06;8.061697e-08;1.4041912e-11;0.00023115883
sunnyvale;8.072401e-08;0.0003778274;4.184522e-22;2.1959565e-07;3.3107346e-22;5.4777637e-08;2.3627656e-08;5.489176e-27;1.9823983e-05;2.2754513e-05;9.860793e-09;8.168323e-25;5.2206554e-14;2.28164e-11;2.3514798e-14;1.3531867e-07
generally;4.6600217e-08;2.3496948e-05;2.243042e-06;0.0002996279;1.5162058e-05;0.00013356235;3.9081067e-05;7.3962406e-07;0.00017399415;5.67598e-05;0.00020158886;6.300985e-06;1.2462166e-07;6.3973893e-09;0.00469084;7.117765e-05
lemur;6.803713e-12;5.020361e-05;4.9302236e-07;9.727581e-06;1.6395826e-11;2.5831816e-06;1.0660796e-06;2.1696314e-16;3.4179611e-06;3.185323e-05;8.740509e-06;5.6042508e-15;7.5137725e-14;4.4192463e-09;3.1918973e-14;1.3152675e-05
burner;1.4614301e-11;1.1664965e-05;8.4849134e-08;1.8193941e-05;2.1738316e-14;6.2064123e-07;2.3848166e-05;9.028448e-16;0.00022864959;3.74489e-05;1.5848782e-07;2.1207692e-19;4.5211227e-08;2.9929236e-06;4.7759283e-07;2.436045e-07
naive;4.7044686e-12;3.4568762e-05;2.1729727e-07;6.789133e-05;6.072728e-11;1.9817675e-05;1.7016928e-05;3.5528183e-07;3.9700542e-05;4.2959946e-05;9.491814e-05;7.914629e-09;1.4297684e-06;3.5270827e-07;2.474675e-09;4.7773658e-05
